Method 	Date 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc.
Mafuyanscuec 	17-Apr-18 	60.32 	96.10 	47.19 	95.26 	64.87 	96.00 	59.70 	87.45 	61.00 	96.64 	59.18 	94.29
CS3 of GZU 	17-Apr-18 	69.94 	96.92 	61.03 	96.33 	69.92 	96.43 	68.71 	89.63 	74.55 	97.70 	68.81 	95.40
Selim Seferbekov 	17-Apr-18 	73.11 	97.23 	78.80 	97.95 	77.32 	97.26 	78.61 	92.71 	80.64 	98.25 	77.92 	96.68
Chandra Kiran 	17-Apr-18 	62.14 	95.98 	58.91 	95.84 	64.15 	95.63 	67.11 	88.41 	64.99 	96.79 	64.64 	94.53
Jimmy Ju 	23-Apr-18 	71.59 	97.14 	57.57 	96.06 	70.39 	96.53 	70.41 	90.21 	76.97 	97.94 	69.74 	95.58
Mi Zhang2 	27-Apr-18 	66.74 	96.77 	64.34 	96.70 	72.60 	96.77 	68.54 	89.90 	71.02 	97.36 	68.73 	95.50
Selim Seferbekov2 	29-Apr-18 	73.66 	97.30 	79.96 	98.05 	78.36 	97.41 	79.33 	92.85 	79.04 	98.07 	78.45 	96.74
Mafuyanscuec2 	1-May-18 	66.29 	96.63 	58.59 	96.14 	67.33 	96.11 	69.90 	90.04 	71.20 	97.41 	67.71 	95.27
Ali Aliev 	6-May-18 	73.30 	97.19 	77.18 	97.77 	77.31 	97.23 	78.48 	92.58 	76.88 	97.80 	77.22 	96.51
Pavel Yakubovskiy 	10-May-18 	72.80 	97.22 	78.49 	97.89 	77.47 	97.29 	79.69 	93.15 	80.38 	98.25 	78.31 	96.76
Onur Tasar 	7-June-18 	72.32 	97.17 	72.38 	97.30 	76.32 	97.08 	77.06 	92.08 	78.27 	97.97 	75.85 	96.32
Q Liu 	20-June-18 	57.80 	95.83 	38.30 	94.44 	61.23 	95.41 	62.28 	87.20 	62.94 	96.61 	58.66 	93.90
Ghassemi Sina 	25-June-18 	69.47 	96.74 	75.17 	97.58 	75.90 	97.05 	72.76 	91.20 	76.89 	97.93 	73.63 	96.10
Ali Aliev 	27-June-18 	73.59 	97.22 	75.13 	97.59 	77.62 	97.28 	76.90 	92.00 	81.08 	98.29 	76.83 	96.48
Xiang Li 	29-June-18 	65.50 	96.39 	66.63 	96.85 	72.59 	96.73 	76.14 	91.96 	71.86 	97.48 	72.36 	95.88
Sina Ghassemi 	05-July-18 	69.13 	96.92 	70.30 	97.17 	72.51 	96.76 	72.76 	91.20 	75.31 	97.83 	72.21 	95.97
Huan Qi 	27-July-18 	61.47 	95.79 	54.11 	95.36 	65.01 	95.51 	65.11 	87.11 	66.75 	96.78 	63.41 	94.11
Sina Ghassemi2 	27-July-18 	69.70 	96.99 	66.70 	96.72 	72.16 	96.68 	65.85 	88.91 	73.91 	97.68 	68.50 	95.40
Sina Ghassemi3 	30-July-18 	68.17 	96.83 	67.97 	96.93 	73.07 	96.78 	66.78 	89.21 	75.42 	97.84 	69.20 	95.52
Bodhiswatta-ICTLab 	02-August-18 	62.44 	96.03 	48.20 	95.21 	59.83 	95.24 	73.19 	90.98 	60.35 	96.10 	64.82 	94.71
Sina Ghassemi4 	02-August-18 	66.46 	96.51 	70.27 	97.16 	72.49 	96.76 	69.61 	89.02 	75.29 	97.82 	70.36 	95.46
Alexey Bokhovkin 	05-August-18 	71.10 	97.02 	76.30 	97.64 	75.19 	96.97 	78.21 	92.61 	78.14 	98.03 	76.49 	96.45
Alexey Bokhovkin2 	08-August-18 	70.15 	96.98 	74.26 	97.51 	73.69 	96.81 	77.59 	92.53 	76.18 	97.87 	75.34 	96.34
Bodhiswatta-ICTLab2 	15-August-18 	66.14 	96.53 	50.30 	95.33 	64.50 	95.60 	71.05 	90.11 	63.94 	96.46 	65.83 	94.80
ZhenguoYuan 	19-August-18 	70.33 	97.01 	59.27 	96.17 	74.78 	97.03 	60.31 	87.09 	77.81 	98.03 	66.05 	95.07
ZhenguoYuanMS 	21-August-18 	64.36 	96.40 	52.99 	95.60 	68.14 	96.20 	62.97 	87.49 	71.13 	97.37 	63.74 	94.61
ZhenguoYuanVGG 	21-August-18 	68.11 	96.77 	60.41 	96.20 	72.33 	96.65 	67.72 	88.50 	73.22 	97.52 	68.25 	95.13
Fuzail Palnak 	27-August-18 	59.76 	95.55 	61.44 	96.35 	72.78 	96.83 	70.19 	90.16 	73.66 	97.70 	68.33 	95.32
Sina Ghassemi 	14-September-18 	66.47 	96.52 	70.30 	97.17 	72.51 	96.76 	69.64 	89.04 	75.31 	97.83 	70.39 	95.46
Sina Ghassemi 	17-September-18 	69.13 	96.92 	70.30 	97.17 	72.51 	96.76 	69.64 	89.04 	75.31 	97.83 	70.76 	95.54
Shen Shen 	17-September-18 	65.04 	96.36 	53.61 	95.51 	65.11 	95.61 	72.10 	90.23 	68.68 	97.03 	67.27 	94.95
Simon 	18-September-18 	63.71 	96.34 	55.65 	95.79 	67.77 	96.05 	66.28 	88.70 	70.41 	97.20 	65.35 	94.82
Maria Papadomanolaki 	18-September-18 	67.20 	96.60 	60.39 	96.23 	71.89 	96.63 	71.59 	90.30 	75.41 	97.76 	70.08 	95.50
Song Zichen 	20-September-18 	69.85 	97.00 	68.38 	97.00 	73.60 	96.86 	73.76 	91.17 	75.96 	97.86 	72.78 	95.98
Zhang Bin 	23-September-18 	70.29 	96.98 	65.29 	96.36 	74.49 	96.99 	73.30 	91.22 	75.55 	97.84 	72.21 	95.88
Zhang Bin2 	25-September-18 	71.68 	97.18 	71.48 	97.32 	75.39 	97.15 	75.91 	92.14 	77.03 	97.99 	74.80 	96.36
Shen Shen 	26-September-18 	70.13 	96.92 	55.35 	95.40 	71.41 	96.54 	69.69 	89.72 	76.33 	97.82 	68.88 	95.28
